trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,0,9.42396037268699,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",35,0,-5.037212577868564,"{0: 30, 1: 2, 2: 2, 3: 1, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,8,-0.7595526201358886,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,12,18.21709531275552,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",25,0,-24.11791234838752,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",30,0,20.58688773864339,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,11,15.263915759150674,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",25,0,12.016820387390814,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",30,0,-2.311917918682091,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",25,0,-13.646499818442429,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",25,0,-15.170744524801743,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",20,0,-39.740951462287285,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.296386587399208}",25,0,-35.02601851863238,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",20,0,10.788799453161626,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
