trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
237,False,"{'a': 0.5, 'e': 0.09237216435585796}",20,14,6.964453354433555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09144844271229938}",30,21,11.587147269847605,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.0905339582851764}",20,12,14.774273194884325,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.08962861870232462}",30,7,-8.843600387166992,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08873233251530138}",25,13,21.222904121708755,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08784500919014836}",20,14,11.493427683782958,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.08696655909824688}",25,14,16.277411162372623,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.0860968935072644}",25,5,29.116640430966818,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.08523592457219176}",20,5,19.198473952370428,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.08438356532646984}",25,17,15.475562740294654,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.08353972967320515}",20,16,8.731936249487546,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.0827043323764731}",25,16,-26.295305620227225,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
249,False,"{'a': 0.5, 'e': 0.08187728905270836}",30,19,18.72687816494039,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.08105851616218128}",20,16,7.7324055360528785,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.08024793100055946}",25,13,18.815608557563962,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.07944545169055386}",25,7,18.25587169875729,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.07865099717364833}",25,16,15.082970985702715,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.07786448720191184}",20,16,8.174585808569343,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.07708584232989273}",25,15,1.3636646739644065,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.0763149839065938}",20,0,26.833434547422225,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
257,False,"{'a': 0.5, 'e': 0.07555183406752786}",30,19,19.13520348256288,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.07479631572685258}",20,12,12.726179384858765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.07404835256958406}",30,24,11.348234037348202,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07330786904388821}",20,8,13.335219508928077,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.07257479035344933}",20,0,6.404531586786435,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.07184904244991483}",25,16,14.186545102556128,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.07113055202541568}",20,5,31.11220479504035,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.07041924650516153}",20,1,3.779645809980302,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.06971505404010991}",20,8,22.927095402323506,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.06901790349970881}",25,17,4.88366761047367,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.06832772446471172}",20,15,8.93127174338701,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.0676444472200646}",20,6,25.99814497904437,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.06696800274786396}",25,11,25.391439268999033,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
